Should Update,Original,Current Translation,Updated Translation,
No,transverse impact parameter significance,横向碰撞参数显著性,,
No,beam spot,束斑,,
No,impact point,碰撞点,,
No,point of closest approach,最近接近点,,
No,prompt-like,prompt-like,类瞬发,
No,Particle Flow,粒子流,,
No,displaced,displaced,位移的,
No,standalone muon,standalone muon,独立缪子,
No,global muon,global muon,全局缪子,
No,tracker muon,tracker muon,径迹探测器缪子,
No,soft muon,soft muon,软缪子,
No,tracker track,tracker track,径迹探测器径迹,
No,pull (matching),pull,拉动值,
No,high-purity (track quality),high-purity,高纯度径迹,
No,hadron punch-through,强子穿透,
No,candidate,候选体,,
